time(sec), throughput(txs), avg_latency(ms), min(ms), max(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms)
0, 7786, 1.405471, 0, 29, 1, 1, 2
1, 8126, 1.330544, 0, 31, 1, 1, 2
2, 8274, 1.307227, 0, 31, 1, 1, 2
3, 8449, 1.267014, 0, 7, 1, 1, 2
4, 8023, 1.363580, 0, 34, 1, 1, 2
5, 8249, 1.302340, 0, 31, 1, 1, 2
6, 8135, 1.323663, 0, 34, 1, 1, 2
7, 8561, 1.237706, 0, 8, 1, 1, 2
8, 8355, 1.273250, 0, 31, 1, 1, 2
9, 8241, 1.313676, 0, 31, 1, 1, 2
10, 8715, 1.209753, 0, 5, 1, 1, 2
11, 7713, 1.427071, 0, 32, 1, 1, 2
12, 8152, 1.333047, 0, 7, 1, 1, 2
13, 8011, 1.359131, 0, 30, 1, 1, 2
14, 8112, 1.342332, 0, 43, 1, 1, 2
15, 8605, 1.235793, 0, 6, 1, 1, 2
16, 8141, 1.327233, 0, 56, 1, 1, 2
17, 8486, 1.256658, 0, 31, 1, 1, 2
18, 8677, 1.219661, 0, 5, 1, 1, 2
19, 7932, 1.379097, 0, 31, 1, 1, 2
20, 8158, 1.328512, 0, 9, 1, 1, 2
21, 7967, 1.370528, 0, 38, 1, 1, 2
22, 8604, 1.222338, 0, 7, 1, 1, 2
23, 7529, 1.482401, 0, 40, 1, 1, 2
24, 5587, 2.161446, 0, 57, 0, 1, 3
25, 7575, 1.468779, 0, 37, 1, 1, 2
26, 8008, 1.361139, 0, 40, 1, 1, 2
27, 8192, 1.311401, 0, 7, 1, 1, 2
28, 7919, 1.383761, 0, 31, 1, 1, 2
29, 8070, 1.347212, 0, 31, 1, 1, 2
30, 7925, 1.377035, 0, 33, 1, 1, 2
31, 8537, 1.239897, 0, 8, 1, 1, 2
32, 7908, 1.378225, 0, 30, 1, 1, 2
33, 8375, 1.276418, 0, 18, 1, 1, 2
34, 8375, 1.277851, 0, 13, 1, 1, 2
35, 8333, 1.279851, 0, 31, 1, 1, 2
36, 8728, 1.203941, 0, 5, 1, 1, 2
37, 8196, 1.312714, 0, 31, 1, 1, 2
38, 8664, 1.217913, 0, 7, 1, 1, 2
39, 7545, 1.475944, 0, 32, 1, 1, 2
40, 8215, 1.312599, 0, 8, 1, 1, 2
41, 8056, 1.352036, 0, 30, 1, 1, 2
42, 8598, 1.230751, 0, 8, 1, 1, 2
43, 8584, 1.234157, 0, 8, 1, 1, 2
44, 8193, 1.317588, 0, 32, 1, 1, 2
45, 8613, 1.232672, 0, 5, 1, 1, 2
46, 8195, 1.327883, 0, 33, 1, 1, 2
47, 8386, 1.280706, 0, 7, 1, 1, 2
48, 8504, 1.252587, 0, 6, 1, 1, 2
49, 7564, 1.476335, 0, 45, 1, 1, 2
50, 8497, 1.252677, 0, 5, 1, 1, 2
51, 8070, 1.346468, 0, 31, 1, 1, 2
52, 8451, 1.266359, 0, 6, 1, 1, 2
53, 8033, 1.354289, 0, 32, 1, 1, 2
54, 7971, 1.375988, 0, 9, 1, 1, 2
55, 8387, 1.277811, 0, 6, 1, 1, 2
56, 8122, 1.334400, 0, 31, 1, 1, 2
57, 8431, 1.269244, 0, 5, 1, 1, 2
58, 7999, 1.357920, 0, 33, 1, 1, 2
59, 7961, 1.369803, 0, 8, 1, 1, 2
60, 26, 1.192308, 0, 4, 0, 1, 2
